catalog_id,niche_id,niche_name,template_name,slug,page_type,conversion_objective,target_audience,primary_cta,section_sequence,required_controlled_nodes,required_future_nodes,required_editable_fields,visual_direction,thumbnail_strategy,structural_distinction_rationale,catalog_status
"TPL-011","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Unidades & Mapa Local","tpl-odonto-localizacao-e-unidades","Landing Local","Atração de Clientes Locais por Proximidade Geográfica","Moradores/empresas da região geográfica de atendimento","Ver Rota e Agendar Visita","hero -> contact -> services -> testimonials -> footer","HeroBlock;ContactBlock;ServicesBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,google_maps_url,address,phone,services_cards,testimonials_list,copyright_text","Destaque visual para o mapa interativo e informações de endereço","Secção de contacto com mapa integrado e horários de funcionamento","Foco total em busca local e facilidade de localização geográfica.","pilot_eligible"
"TPL-012","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Apresentação de Pacotes","tpl-odonto-pacotes-e-condicoes","Landing de Vendas","Conversão para Pacotes Estruturados de Serviços","Clientes interessados em combos e condições especiais","Escolher Meu Pacote","hero -> services -> benefits -> form -> faq -> footer","HeroBlock;ServicesBlock;BenefitsBlock;FormBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,services_cards,benefits_items,form_fields,faq_items,copyright_text","Grelha de pacotes com marcadores visuais do mais popular","Grelha de serviços formatada como cartões de pacotes","Facilita a decisão de compra agrupando serviços em ofertas claras.","pilot_eligible"
"TPL-013","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Nossa História & Propósito","tpl-odonto-historia-e-proposito","Website Institucional","Conexão Emocional e Alinhamento de Valores","Clientes que valorizam a missão e reputação da empresa","Fazer Parte da Nossa História","hero -> about -> process -> team -> contact -> footer","HeroBlock;AboutBlock;ProcessBlock;TeamBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,story_text,stat_number,stat_label,process_steps,team_members,contact_info,copyright_text","Narrativa em linha do tempo com fotografias institucionais","Secção About com bloco de estatísticas e imagens de bastidores","Constrói lealdade de longo prazo mostrando a trajetória e propósito do negócio.","pilot_eligible"
"TPL-014","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Jornada do Cliente","tpl-odonto-solucao-passo-a-passo","Landing Educacional","Desmistificar o Processo de Prestação do Serviço","Clientes receosos quanto à complexidade do serviço","Iniciar Minha Jornada","hero -> process -> services -> testimonials -> form -> footer","HeroBlock;ProcessBlock;ServicesBlock;TestimonialsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,process_steps,services_cards,testimonials_list,form_fields,copyright_text","Fluxo numérico progressivo (Passo 1, 2, 3) bem marcado","Infográfico do processo de 4 passos com conectores visuais","Reduz a ansiedade do cliente mostrando exatamente o que acontece em cada fase.","pilot_eligible"
"TPL-015","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Oferta de Boas-Vindas","tpl-odonto-primeira-visita-especial","Landing Page Direta","Captação de Novos Clientes com Condição Especial","Público que nunca utilizou os serviços da empresa","Garantir Oferta de Boas-Vindas","hero -> benefits -> form -> testimonials -> footer","HeroBlock;BenefitsBlock;FormBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,badge_text,benefits_items,form_fields,testimonials_list,copyright_text","Badge destacado de oferta exclusiva no Hero","Hero com selo de Boas-Vindas e formulário de inscrição direta","Incentiva a experiência inicial através de um incentivo exclusivo para novos clientes.","pilot_eligible"
"TPL-016","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Sales Page VSL Longa","tpl-odonto-vsl-video-sales-page","Sales Page Longa","Conversão via Vídeo de Vendas (VSL) e Pitch Estruturado","Leads de tráfego frio preparados por apresentação em vídeo","Garantir Vaga no Programa","hero_vsl -> benefits -> testimonials -> faq -> footer","BenefitsBlock;TestimonialsBlock;FaqBlock;FooterBlock","HeroVslBlock","headline,video_url,cta_primary_text,benefits_items,testimonials_list,faq_items,copyright_text","Container de vídeo centralizado com foco total na apresentação VSL","Player de vídeo VSL em topo escuro e botão CTA revelado abaixo","Focado em conversão audiovisual para infoprodutos e mentorias de alto valor.","blocked_by_node_registry"
"TPL-017","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Planos & Tabela de Pricing","tpl-odonto-tabela-de-precos-saas","Produto / Demo / Trial","Seleção de Planos Mensais/Anuais e Free Trial","Decisores de compra avaliando pacotes e limites de software","Assinar Plano Selecionado","hero -> pricing_table -> benefits -> faq -> footer","HeroBlock;BenefitsBlock;FaqBlock;FooterBlock","PricingTableBlock","headline,subheadline,pricing_plans,features_comparison,faq_items,copyright_text","Cartões de preços comparativos com alternador Mensal/Anual","Grelha de 3 planos de preços com destaque para o plano recomendado","Transparência total de preços e funcionalidades para SaaS e assinaturas.","blocked_by_node_registry"
"TPL-018","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Mostra de Portfólio & Projetos","tpl-odonto-galeria-portfolio-projetos","Website/Portfólio","Exibição Visual de Projetos Concluídos","Clientes de alto padrão avaliando qualidade estética e acabamento","Solicitar Projeto Semelhante","hero -> gallery_grid -> process -> contact -> footer","HeroBlock;ProcessBlock;ContactBlock;FooterBlock","GalleryGridBlock","headline,subheadline,gallery_images,project_categories,contact_info,copyright_text","Grelha masonry de alta resolução com lightbox interativo","Galeria visual de projetos com filtros por categoria","Demonstra a excelência técnica através do trabalho visualmente concluído.","blocked_by_node_registry"
"TPL-019","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Calculadora Interativa de Cotação","tpl-odonto-simulador-calculadora-cotacao","Landing de Cotação","Estimativa Interativa em Tempo Real pelo Cliente","Clientes que desejam calcular o investimento aproximado","Enviar Resultado da Simulação","hero -> interactive_calculator -> form -> faq -> footer","HeroBlock;FormBlock;FaqBlock;FooterBlock","CalculatorBlock","headline,subheadline,calculator_fields,form_fields,faq_items,copyright_text","Sliders e seletores interativos com valor total calculado em tempo real","Calculadora interativa com controles deslizantes e resultado estimado","Engaja o utilizador permitindo simular o valor exato da sua necessidade.","blocked_by_node_registry"
"TPL-020","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Agendador com Calendário Ao Vivo","tpl-odonto-calendario-agendamento-online","Landing de Marcações","Reserva Direta de Data e Horário em Agenda Integrada","Clientes que preferem selecionar o dia e hora no momento","Confirmar Data e Horário","hero -> booking_calendar -> testimonials -> footer","HeroBlock;TestimonialsBlock;FooterBlock","BookingCalendarBlock","headline,subheadline,available_slots,testimonials_list,copyright_text","Calendário interativo com escolha de horário em tempo real","Widget de calendário mensal com seleção de slots de horário","Elimina trocas de mensagens agendando a reunião/consulta diretamente.","blocked_by_node_registry"
"TPL-021","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Comparativo de Soluções B2B","tpl-odonto-tabela-comparativa-recursos","Produto / Demo / Trial","Demonstração de Superioridade em Relação a Alternativas","Compradores B2B comparando concorrentes e funcionalidades","Escolher a Solução Líder","hero -> comparison_table -> benefits -> form -> footer","HeroBlock;BenefitsBlock;FormBlock;FooterBlock","ComparisonTableBlock","headline,subheadline,comparison_matrix,benefits_items,form_fields,copyright_text","Tabela comparativa com marcas de verificação (checkmarks) e destaques","Tabela comparativa matricial com a empresa destacada na 1ª coluna","Prova a vantagem competitiva de forma transparente através de matriz de recursos.","blocked_by_node_registry"
"TPL-022","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Catálogo Filtrável de Soluções","tpl-odonto-catalogo-com-filtros-avancados","Website/Portfólio","Navegação por Granularidade de Nichos e Equipamentos","Clientes B2B buscando especificações técnicas detalhadas","Solicitar Ficha Técnica e Cotação","hero -> filtered_catalog -> contact -> footer","HeroBlock;ContactBlock;FooterBlock","FilteredCatalogBlock","headline,subheadline,catalog_items,filter_categories,contact_info,copyright_text","Filtros por categoria no topo e cartões com badges técnicos","Barra de filtros de produtos e grelha de resultados organizados","Facilita a busca em inventários extensos de serviços ou equipamentos.","blocked_by_node_registry"
"TPL-023","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Experiência Virtual & Espaço","tpl-odonto-tour-virtual-galeria-360","Captação e Reserva","Apresentação Imersiva de Ambientes e Instalações","Noivas, organizadores de eventos e clientes de imobiliário","Agendar Visita Presencial","hero -> virtual_tour -> testimonials -> form -> footer","HeroBlock;TestimonialsBlock;FormBlock;FooterBlock","VirtualTourBlock","headline,subheadline,embed_tour_url,testimonials_list,form_fields,copyright_text","Visualizador panorâmico imersivo com botões de navegação","Preview de tour virtual 360 com ícone de navegação interativa","Encanta o cliente mostrando o espaço físico em alta definição antes da visita.","blocked_by_node_registry"
"TPL-024","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Linha do Tempo & Tradição","tpl-odonto-linha-do-tempo-historica","Website Institucional","Demonstração de Tradição, Anos de Mercado e Milestones","Grandes contas corporativas buscando estabilidade e tradição","Falar com Nossa Gestão","hero -> timeline_history -> team -> contact -> footer","HeroBlock;TeamBlock;ContactBlock;FooterBlock","TimelineHistoryBlock","headline,subheadline,timeline_events,team_members,contact_info,copyright_text","Linha vertical cronológica com pontos de destaque históricos","Linha do tempo interativa marcando anos e conquistas da empresa","Transmite solidez e confiança comprovando anos de atuação no mercado.","blocked_by_node_registry"
"TPL-025","1","Clínicas de Odontologia e Harmonização Facial","Clínicas Cardápio Interativo & Menus","tpl-odonto-menu-degustacao-cardapio","Captação e Reserva","Apresentação de Opções de Menus e Buffets para Eventos","Organizadores de eventos e noivos escolhendo gastronomia","Solicitar Degustação do Cardápio","hero -> interactive_menu -> testimonials -> form -> footer","HeroBlock;TestimonialsBlock;FormBlock;FooterBlock","InteractiveMenuBlock","headline,subheadline,menu_categories,testimonials_list,form_fields,copyright_text","Abas organizadas por pratos (Entradas, Principais, Sobremesas) com fotos","Cardápio em abas estilizadas com imagens de gastronomia","Estimula o desejo gastronómico apresentando os menus de forma elegante.","blocked_by_node_registry"
"TPL-026","2","Cirurgia Plástica e Dermatologia","Cirurgia Direct Ads Express","tpl-dermato-ads-captura-rapida","Landing Page Direta","Captura Imediata de Leads Google/Meta Ads","Pacientes/clientes urgentes em busca de atendimento direto","Solicitar Atendimento Imediato","hero -> form -> benefits -> testimonials -> footer","HeroBlock;FormBlock;BenefitsBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,badge_text,form_fields,submit_button_text,benefits_list,testimonials_list,copyright_text","Clean responsivo com destaque para formulário de conversão direta","Renderização do formulário em topo claro e CTA com contraste","Foco exclusivo em conversão de fundo de funil com formulário acima da dobra e sem fuga.","pilot_eligible"
"TPL-027","2","Cirurgia Plástica e Dermatologia","Cirurgia Agendamento VIP","tpl-dermato-agendamento-consulta-vip","Landing de Marcações","Agendamento Direct de Primeira Consulta","Clientes qualificados procurando atendimento exclusivo","Agendar Consulta VIP","hero -> services -> process -> testimonials -> contact -> footer","HeroBlock;ServicesBlock;ProcessBlock;TestimonialsBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,badge_text,services_cards,process_steps,testimonials_list,contact_info,copyright_text","Tom premium com cartões espaçados e etapas do processo ilustradas","Hero com destaque de especialidades e botão de agendamento em destaque","Apresenta a jornada de atendimento passo a passo para gerar confiança no agendamento.","pilot_eligible"
"TPL-028","2","Cirurgia Plástica e Dermatologia","Cirurgia Institucional Autoridade","tpl-dermato-institucional-autoridade","Website Institucional","Construção de Autoridade de Marca e Apresentação de Equipa","Clientes corporativos e parceiros estratégicos","Conhecer Soluções da Empresa","hero -> about -> services -> team -> contact -> footer","HeroBlock;AboutBlock;ServicesBlock;TeamBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,story_text,stat_number,stat_label,services_cards,team_members,contact_info,copyright_text","Design corporativo sóbrio com tipografia forte e fotos da equipa","Preview da secção de história e griha de membros da equipa","Posiciona o negócio como líder de mercado através da história e equipa médica/profissional.","pilot_eligible"
"TPL-029","2","Cirurgia Plástica e Dermatologia","Cirurgia Cotação Express","tpl-dermato-cotacao-progressiva-express","Landing de Cotação","Solicitação de Orçamento com Dados Iniciais","Compradores buscando estimativa rápida de investimento","Pedir Orçamento Gratuito","hero -> benefits -> form -> faq -> footer","HeroBlock;BenefitsBlock;FormBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,benefits_items,form_fields,submit_button_text,faq_items,copyright_text","Foco em clareza de benefícios antes de expor os campos de orçamento","Captura destacando cartões de diferenciais e formulário de orçamento","Elimina objeções de preço respondendo perguntas frequentes antes do pedido de cotação.","pilot_eligible"
"TPL-030","2","Cirurgia Plástica e Dermatologia","Cirurgia Catálogo de Especialidades","tpl-dermato-procedimentos-especializados","Landing de Serviços","Apresentação Detalhada do Portfólio de Serviços","Público que procura soluções técnicas específicas","Consultar Especialista","hero -> services -> benefits -> process -> form -> footer","HeroBlock;ServicesBlock;BenefitsBlock;ProcessBlock;FormBlock;FooterBlock","NONE","headline,subheadline,services_cards,benefits_items,process_steps,form_fields,copyright_text","Grelha modular de serviços com ícones e marcadores técnicos","Visão geral do catálogo de serviços em grelha 3 colunas","Organiza serviços complexos de forma modular e clara para facilidade de navegação.","pilot_eligible"
"TPL-031","2","Cirurgia Plástica e Dermatologia","Cirurgia Casos & Prova Social","tpl-dermato-prova-social-intensa","Landing Page Direta","Conversão Baseada em Depoimentos e Prova de Confiança","Clientes indecisos que necessitam de validação de terceiros","Ver Resultados e Agendar","hero -> testimonials -> benefits -> faq -> contact -> footer","HeroBlock;TestimonialsBlock;BenefitsBlock;FaqBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,testimonials_list,benefits_items,faq_items,contact_info,copyright_text","Estilo visual focado em cartões de avaliações com estrelas e avatares","Secção Hero integrada com avaliações 5 estrelas em destaque","Utiliza o gatilho da prova social em posição de destaque máximo para quebrar desconfiança.","pilot_eligible"
"TPL-032","2","Cirurgia Plástica e Dermatologia","Cirurgia Diagnóstico Gratuito","tpl-dermato-diagnostico-inicial-gratuito","Landing Page Direta","Captação de Leads via Oferta de Diagnóstico sem Custo","Clientes em fase de descoberta que procuram avaliação inicial","Solicitar Diagnóstico sem Custo","hero -> process -> benefits -> form -> footer","HeroBlock;ProcessBlock;BenefitsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,process_steps,benefits_items,form_fields,copyright_text","Cores de alta energia e badges explicativos do diagnóstico","Hero com badge de Diagnóstico Gratuito e formulário em destaque","Reduz a barreira de entrada oferecendo uma avaliação sem compromisso financeiro.","pilot_eligible"
"TPL-033","2","Cirurgia Plástica e Dermatologia","Cirurgia Plantão & Atendimento Rápido","tpl-dermato-atendimento-urgencia-24h","Landing Page Direta","Conversão Urgente para Casos Imediatos","Público com necessidade urgente ou atendimento emergencial","Falar com Atendimento Rápido","hero -> contact -> services -> faq -> footer","HeroBlock;ContactBlock;ServicesBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,phone,email,address,services_cards,faq_items,copyright_text","Layout de alta visibilidade com botão telefónico/WhatsApp de destaque imediato","Hero com botões de contacto direto e mapa de localização rápida","Focado em resolução imediata com telefone e mapa acessíveis sem rolagem.","pilot_eligible"
"TPL-034","2","Cirurgia Plástica e Dermatologia","Cirurgia Guia de Esclarecimento & FAQ","tpl-dermato-duvidas-e-faq-interativo","Landing Educacional","Captação via Esclarecimento de Dúvidas Técnicas","Clientes que pesquisam objeções antes de contratar","Tirar Minha Dúvida com Especialista","hero -> faq -> benefits -> form -> footer","HeroBlock;FaqBlock;BenefitsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,faq_items,benefits_items,form_fields,copyright_text","Accordion limpo com boa legibilidade e tipografia contrastante","Secção de perguntas frequentes em destaque com busca visual","Resolve objeções complexas antecipadamente para converter tráfego qualificado.","pilot_eligible"
"TPL-035","2","Cirurgia Plástica e Dermatologia","Cirurgia Equipa & Corpo Clínico/Técnico","tpl-dermato-equipa-e-corpo-tecnico","Website Institucional","Apresentação de Credenciais e Especialistas","Clientes que escolhem profissionais por currículo e autoridade","Marcar com Nossos Especialistas","hero -> team -> about -> services -> contact -> footer","HeroBlock;TeamBlock;AboutBlock;ServicesBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,team_members,story_text,services_cards,contact_info,copyright_text","Grelha elegante de perfis profissionais com bios detalhadas","Cartões de equipa com fotos profissionais e bios curtas","Foco no fator humano e nas credenciais individuais da equipa para passar segurança.","pilot_eligible"
"TPL-036","2","Cirurgia Plástica e Dermatologia","Cirurgia Unidades & Mapa Local","tpl-dermato-localizacao-e-unidades","Landing Local","Atração de Clientes Locais por Proximidade Geográfica","Moradores/empresas da região geográfica de atendimento","Ver Rota e Agendar Visita","hero -> contact -> services -> testimonials -> footer","HeroBlock;ContactBlock;ServicesBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,google_maps_url,address,phone,services_cards,testimonials_list,copyright_text","Destaque visual para o mapa interativo e informações de endereço","Secção de contacto com mapa integrado e horários de funcionamento","Foco total em busca local e facilidade de localização geográfica.","pilot_eligible"
"TPL-037","2","Cirurgia Plástica e Dermatologia","Cirurgia Apresentação de Pacotes","tpl-dermato-pacotes-e-condicoes","Landing de Vendas","Conversão para Pacotes Estruturados de Serviços","Clientes interessados em combos e condições especiais","Escolher Meu Pacote","hero -> services -> benefits -> form -> faq -> footer","HeroBlock;ServicesBlock;BenefitsBlock;FormBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,services_cards,benefits_items,form_fields,faq_items,copyright_text","Grelha de pacotes com marcadores visuais do mais popular","Grelha de serviços formatada como cartões de pacotes","Facilita a decisão de compra agrupando serviços em ofertas claras.","pilot_eligible"
"TPL-038","2","Cirurgia Plástica e Dermatologia","Cirurgia Nossa História & Propósito","tpl-dermato-historia-e-proposito","Website Institucional","Conexão Emocional e Alinhamento de Valores","Clientes que valorizam a missão e reputação da empresa","Fazer Parte da Nossa História","hero -> about -> process -> team -> contact -> footer","HeroBlock;AboutBlock;ProcessBlock;TeamBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,story_text,stat_number,stat_label,process_steps,team_members,contact_info,copyright_text","Narrativa em linha do tempo com fotografias institucionais","Secção About com bloco de estatísticas e imagens de bastidores","Constrói lealdade de longo prazo mostrando a trajetória e propósito do negócio.","pilot_eligible"
"TPL-039","2","Cirurgia Plástica e Dermatologia","Cirurgia Jornada do Cliente","tpl-dermato-solucao-passo-a-passo","Landing Educacional","Desmistificar o Processo de Prestação do Serviço","Clientes receosos quanto à complexidade do serviço","Iniciar Minha Jornada","hero -> process -> services -> testimonials -> form -> footer","HeroBlock;ProcessBlock;ServicesBlock;TestimonialsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,process_steps,services_cards,testimonials_list,form_fields,copyright_text","Fluxo numérico progressivo (Passo 1, 2, 3) bem marcado","Infográfico do processo de 4 passos com conectores visuais","Reduz a ansiedade do cliente mostrando exatamente o que acontece em cada fase.","pilot_eligible"
"TPL-040","2","Cirurgia Plástica e Dermatologia","Cirurgia Oferta de Boas-Vindas","tpl-dermato-primeira-visita-especial","Landing Page Direta","Captação de Novos Clientes com Condição Especial","Público que nunca utilizou os serviços da empresa","Garantir Oferta de Boas-Vindas","hero -> benefits -> form -> testimonials -> footer","HeroBlock;BenefitsBlock;FormBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,badge_text,benefits_items,form_fields,testimonials_list,copyright_text","Badge destacado de oferta exclusiva no Hero","Hero com selo de Boas-Vindas e formulário de inscrição direta","Incentiva a experiência inicial através de um incentivo exclusivo para novos clientes.","pilot_eligible"
"TPL-041","2","Cirurgia Plástica e Dermatologia","Cirurgia Sales Page VSL Longa","tpl-dermato-vsl-video-sales-page","Sales Page Longa","Conversão via Vídeo de Vendas (VSL) e Pitch Estruturado","Leads de tráfego frio preparados por apresentação em vídeo","Garantir Vaga no Programa","hero_vsl -> benefits -> testimonials -> faq -> footer","BenefitsBlock;TestimonialsBlock;FaqBlock;FooterBlock","HeroVslBlock","headline,video_url,cta_primary_text,benefits_items,testimonials_list,faq_items,copyright_text","Container de vídeo centralizado com foco total na apresentação VSL","Player de vídeo VSL em topo escuro e botão CTA revelado abaixo","Focado em conversão audiovisual para infoprodutos e mentorias de alto valor.","blocked_by_node_registry"
"TPL-042","2","Cirurgia Plástica e Dermatologia","Cirurgia Planos & Tabela de Pricing","tpl-dermato-tabela-de-precos-saas","Produto / Demo / Trial","Seleção de Planos Mensais/Anuais e Free Trial","Decisores de compra avaliando pacotes e limites de software","Assinar Plano Selecionado","hero -> pricing_table -> benefits -> faq -> footer","HeroBlock;BenefitsBlock;FaqBlock;FooterBlock","PricingTableBlock","headline,subheadline,pricing_plans,features_comparison,faq_items,copyright_text","Cartões de preços comparativos com alternador Mensal/Anual","Grelha de 3 planos de preços com destaque para o plano recomendado","Transparência total de preços e funcionalidades para SaaS e assinaturas.","blocked_by_node_registry"
